Classifier,Training_Accuracy,Testing_Accuracy,Avg_Precision,Avg_Recall,Avg_F1-Score,Avg_Dice,Avg_IoU,Training_Time_Seconds
SVM (RBF),99.92857142857143,74.66666666666667,74.91538823347388,74.66666666666667,74.5426636981734,74.5426636981734,61.25541077246168,14.384788990020752
SVM (Linear),99.92857142857143,71.26666666666667,71.679089206838,71.26666666666667,71.11079223680524,71.11079223680524,57.26970262679597,6.2979607582092285
LDA,77.78571428571428,69.6,70.09003888668204,69.6,69.55971023804221,69.55971023804221,55.06991583138409,0.307722806930542
SVM (Poly),91.45714285714286,64.4,70.91022067341092,64.4,65.89070158432337,65.89070158432337,51.44868091614493,8.915258169174194
Random Forest (n=200),86.44285714285715,61.96666666666667,63.96633041917666,61.96666666666666,60.20310916516778,60.20310916516778,45.064690264967574,4.665463924407959
KNN (K=7),70.02857142857142,59.46666666666667,63.36882657829733,59.466666666666676,58.90689849677169,58.90689849677169,44.14231725203781,0.22016620635986328
