K,Accuracy,Time_Seconds
1,57.53333333333334,0.334627628326416
3,56.56666666666666,0.2151806354522705
5,58.86666666666667,0.2268838882446289
7,59.46666666666667,0.2187337875366211
9,59.233333333333334,0.22508931159973145
11,58.86666666666667,0.23532629013061523
15,58.5,0.23060131072998047
19,57.766666666666666,0.23184561729431152
