epoch,accuracy,loss,val_accuracy,val_loss
1,0.1666666716337204,2.880491256713867,0.25,1.5850845575332642
2,0.2638888955116272,1.615379810333252,0.375,1.5755717754364014
3,0.2361111044883728,1.5829206705093384,0.25,1.5874167680740356
4,0.375,1.58013117313385,0.125,1.5818439722061157
5,0.4027777910232544,1.483608603477478,0.375,1.6647679805755615
6,0.4444444477558136,1.331095814704895,0.125,1.6125422716140747
7,0.4583333432674408,1.3386543989181519,0.375,1.3845958709716797
8,0.4305555522441864,1.2458763122558594,0.375,1.204669713973999
9,0.5138888955116272,1.0663864612579346,0.625,1.2971277236938477
10,0.5972222089767456,1.1775189638137817,0.625,1.1763551235198975
