epoch,accuracy,loss,val_accuracy,val_loss
1,0.1805555522441864,2.954220771789551,0.25,1.6215685606002808
2,0.1666666716337204,1.6137418746948242,0.375,1.5935074090957642
3,0.2916666567325592,1.5807217359542847,0.25,1.5359113216400146
4,0.2916666567325592,1.4922170639038086,0.25,1.4095274209976196
5,0.3611111044883728,1.3769493103027344,0.375,1.3745059967041016
6,0.4166666567325592,1.38200843334198,0.5,1.1529942750930786
7,0.3611111044883728,1.2671147584915161,0.25,1.2901270389556885
8,0.4722222089767456,1.2383798360824585,0.25,1.2467767000198364
9,0.5972222089767456,1.1585464477539062,0.5,1.1296340227127075
10,0.5833333134651184,1.1490634679794312,0.375,1.8373808860778809
